
3888, 0 / 31, 0 / 31, 0 / 31, 0 / 31, 0 / 31, 0 / 31, 0 / 31, 0 / 31
3119, 0 / 3, 1 / 3, 0 / 3, 0 / 3, 0 / 3, 0 / 3, 0 / 3, 0 / 3
3820, 0 / 42, 0 / 42, 40 / 42, 0 / 42, 0 / 42, 16 / 42, 0 / 42, 0 / 42
3633, 0 / 2, 0 / 2, 1 / 2, 0 / 2, 0 / 2, 0 / 2, 0 / 2, 0 / 2
3082, 0 / 3, 0 / 3, 0 / 3, 0 / 3, 0 / 3, 0 / 3, 0 / 3, 0 / 3
3125, 0 / 3, 0 / 3, 0 / 3, 0 / 3, 0 / 3, 0 / 3, 0 / 3, 0 / 3
3833, 0 / 41, 0 / 41, 0 / 41, 0 / 41, 0 / 41, 0 / 41, 0 / 41, 0 / 41
3677, 0 / 2, 0 / 2, 0 / 2, 0 / 2, 0 / 2, 0 / 2, 0 / 2, 0 / 2
3894, 0 / 30, 0 / 30, 0 / 30, 0 / 30, 0 / 30, 25 / 30, 0 / 30, 0 / 30
3087, 0 / 3, 0 / 3, 0 / 3, 0 / 3, 0 / 3, 0 / 3, 0 / 3, 0 / 3
3518, 0 / 2, 0 / 2, 0 / 2, 0 / 2, 0 / 2, 1 / 2, 0 / 2, 0 / 2
3907, 0 / 28, 0 / 28, 0 / 28, 0 / 28, 0 / 28, 0 / 28, 0 / 28, 0 / 28
3900, 0 / 29, 0 / 29, 0 / 29, 0 / 29, 0 / 29, 0 / 29, 0 / 29, 0 / 29
3131, 0 / 3, 0 / 3, 0 / 3, 0 / 3, 0 / 3, 0 / 3, 0 / 3, 0 / 3
3856, 0 / 36, 0 / 36, 0 / 36, 0 / 36, 0 / 36, 0 / 36, 0 / 36, 18 / 36
3645, 0 / 4, 0 / 4, 0 / 4, 2 / 4, 0 / 4, 1 / 4, 0 / 4, 0 / 4
3094, 0 / 3, 0 / 3, 0 / 3, 0 / 3, 0 / 3, 0 / 3, 0 / 3, 0 / 3
3137, 0 / 3, 0 / 3, 0 / 3, 0 / 3, 0 / 3, 0 / 3, 0 / 3, 0 / 3
3086, 0 / 3, 0 / 3, 0 / 3, 0 / 3, 0 / 3, 0 / 3, 0 / 3, 0 / 3
3981, 0 / 21, 0 / 21, 0 / 21, 0 / 21, 0 / 21, 10 / 21, 0 / 21, 0 / 21
3906, 0 / 28, 0 / 28, 0 / 28, 0 / 28, 0 / 28, 0 / 28, 0 / 28, 0 / 28
3099, 0 / 3, 0 / 3, 0 / 3, 0 / 3, 0 / 3, 0 / 3, 0 / 3, 0 / 3
3698, 0 / 113, 0 / 113, 0 / 113, 0 / 113, 0 / 113
3912, 0 / 27, 0 / 27, 0 / 27, 0 / 27, 0 / 27, 0 / 27, 0 / 27, 0 / 27
3143, 0 / 3, 0 / 3, 1 / 3, 1 / 3, 0 / 3, 0 / 3, 0 / 3, 0 / 3
3892, 0 / 30, 0 / 30, 0 / 30, 0 / 30, 0 / 30, 0 / 30, 0 / 30, 0 / 30
3657, 0 / 2, 0 / 2, 0 / 2, 0 / 2, 0 / 2, 0 / 2, 0 / 2, 0 / 2
3106, 0 / 3, 0 / 3, 0 / 3, 0 / 3, 2 / 3, 0 / 3, 1 / 3, 0 / 3
3149, 0 / 3, 0 / 3, 0 / 3, 0 / 3, 0 / 3, 0 / 3, 0 / 3, 0 / 3
3266, 0 / 3, 0 / 3, 0 / 3, 0 / 3, 0 / 3, 0 / 3, 0 / 3
3127, 0 / 3, 0 / 3, 0 / 3, 0 / 3, 0 / 3, 0 / 3, 0 / 3, 0 / 3
3273, 0 / 3, 0 / 3, 0 / 3, 0 / 3, 0 / 3, 0 / 3, 0 / 3, 0 / 3
3367, 0 / 2, 0 / 2, 0 / 2, 0 / 2, 0 / 2, 0 / 2, 0 / 2, 0 / 2
3878, 0 / 33, 0 / 33, 0 / 33, 0 / 33, 1 / 33, 0 / 33, 1 / 33, 0 / 33
3105, 0 / 3, 0 / 3, 0 / 3, 0 / 3, 0 / 3, 1 / 3, 0 / 3, 0 / 3
3283, 0 / 3, 0 / 3, 0 / 3, 0 / 3, 0 / 3, 0 / 3, 0 / 3, 0 / 3
3411, 0 / 2, 0 / 2, 0 / 2, 0 / 2, 0 / 2, 0 / 2, 0 / 2, 0 / 2
3928, 1 / 26, 0 / 26, 0 / 26, 0 / 26, 0 / 26, 0 / 26, 0 / 26, 0 / 26
3669, 1 / 2, 0 / 2, 0 / 2, 0 / 2, 1 / 2, 0 / 2, 0 / 2, 0 / 2
